StationCode,longitude,latitude,HUC_12,gageID,lon,lat,comid,SiteStatus
403S34646,-118.56616,34.42556,180701020403,11108000,-118.5867537,34.42610707,17574547,NA
403S39062,-118.61744,34.4323,180701020403,11108000,-118.5867537,34.42610707,17574585,NA
403SCSARB,-118.53961,34.42327,180701020107,11107745,-118.3553578,34.42971779,948070569,NA
403SCVARD,-118.59466,34.4328,180701020403,11108000,-118.5867537,34.42610707,17574541,NA
403STCCTC,-118.6123,34.49688,180701020306,11108134,-118.6103652,34.5194364,17575807,Stressed
404S00808,-118.77907,34.11411,180701040104,11105510,-118.6841667,34.0433333,20364887,NA
404S08616,-118.7924,34.12188,180701040104,11105510,-118.6841667,34.0433333,20364835,NA
404S11406,-118.69,34.04939,180701040104,11105510,-118.6841667,34.0433333,20365167,NA
404S16168,-118.70704,34.06765,180701040104,11105510,-118.6841667,34.0433333,20365093,NA
404S17016,-118.78057,34.1183,180701040104,11105510,-118.6841667,34.0433333,20364887,NA
405M10600,-118.10127,33.85293,180701060606,11087020,-118.0381225,34.03417767,22525157,NA
405PS0011,-117.89743,33.88054,180701060604,11089500,-117.8861706,33.89584765,22525749,NA
408M03020,-119.05726,34.16846,180701030107,11106550,-119.0398242,34.17944989,17562626,NA
408M03047,-119.0517,34.17338,180701030107,11106550,-119.0398242,34.17944989,17562626,NA
412LARRHO,-118.1707,33.9377,180701050303,11101250,-118.0717348,34.05834368,22518270,NA
412LARTJA,-118.3907,34.1501,180701050208,11092450,-118.466749,34.16167247,22514962,NA
412M08638,-118.17119,34.20922,180701050209,11098000,-118.1775727,34.22222629,22514800,NA
505MRTNCx,-122.11556,41.09417,180200040403,11367760,-122.0686126,41.12515666,7960917,NA
507OCCPHx,-121.87039,40.68,180201510102,11372325,-121.8086035,40.6868225,2764352,NA
507SPIMBL,-121.65555,40.49868,180201530104,11376110,-121.842212,40.45821245,2765910,NA
507SPIUBL,-121.63843,40.49799,180201530104,11376110,-121.842212,40.45821245,2765910,NA
508PS0458,-122.44755,40.49391,180201540106,11372000,-122.5241795,40.51320587,2495606,NA
508SCCO44,-122.17428,40.54557,180201510403,11374000,-122.2330577,40.50487467,2494768,NA
514BRU001,-120.62167,38.8113,180201290502,11439300,-120.6193721,38.7935142,14983602,NA
514BRU002,-120.62472,38.80833,180201290502,11439300,-120.6193721,38.7935142,14982148,NA
514BRU003,-120.62778,38.80806,180201290502,11439300,-120.6193721,38.7935142,14982308,NA
514BRU004,-120.6325,38.80778,180201290502,11439300,-120.6193721,38.7935142,14982308,NA
514BRU005,-120.63639,38.80556,180201290502,11439300,-120.6193721,38.7935142,14982308,NA
514CE0139,-121.13431,38.9704,180201610201,11425310,-121.0418892,38.95684206,15007181,Stressed
514GRL003,-120.39222,38.95861,180201280204,11429340,-120.3251937,38.98240649,14997277,NA
514GRL004,-120.39417,38.95528,180201280204,11429340,-120.3251937,38.98240649,14997277,NA
514GRL005,-120.39889,38.95417,180201280205,11428995,-120.3888889,38.94805556,14997921,NA
514GRLUPx,-120.37861,38.98444,180201280204,11429340,-120.3251937,38.98240649,14997147,NA
514ICE001,-120.36167,38.82097,180201290204,11441500,-120.3651957,38.81879517,14981972,NA
514ICE002,-120.36676,38.81663,180201290204,11441500,-120.3651957,38.81879517,14981992,NA
514ICE003,-120.37285,38.81674,180201290204,11441500,-120.3651957,38.81879517,14981992,NA
514ICE004,-120.37928,38.81905,180201290204,11441500,-120.3651957,38.81879517,14981998,NA
514ICE005,-120.38368,38.81501,180201290204,11441500,-120.3651957,38.81879517,14981998,NA
514RCR002,-120.428,39.042,180201280206,11428800,-120.4079758,39.05657207,14992883,NA
514RCR003,-120.433,39.037,180201280206,11428800,-120.4079758,39.05657207,14992883,NA
514RCR004,-120.43461,39.03291,180201280206,11428800,-120.4079758,39.05657207,14993635,NA
514RCR005,-120.43536,39.02812,180201280206,11428800,-120.4079758,39.05657207,14993635,NA
514SED078,-120.40052,39.15227,180201280302,11427500,-120.4813127,39.1096266,14992255,NA
514SSC190,-120.44086,38.81763,180201290204,11441500,-120.3651957,38.81879517,14982152,NA
514UNI001,-120.45944,38.85194,180201290205,11441002,-120.4438098,38.8646273,14981742,NA
514UNI002,-120.46389,38.85139,180201290205,11441002,-120.4438098,38.8646273,14981742,NA
514UNI003,-120.47028,38.84889,180201290205,11441002,-120.4438098,38.8646273,14981742,NA
514UNI004,-120.47167,38.84556,180201290205,11441002,-120.4438098,38.8646273,14981752,NA
514UNI005,-120.47778,38.8475,180201290205,11441002,-120.4438098,38.8646273,14981752,NA
514UNIUPx,-120.35861,38.88056,180201290203,11429300,-120.3782515,38.89712824,14981476,NA
515PS0622,-121.39953,39.00558,180201260502,11423800,-121.3321782,39.0415617,948020363,NA
517SLT050,-120.93829,39.6919,180201250402,11413250,-121.0519003,39.6157245,8057817,NA
518GZC001,-121.29436,39.89124,180201210605,11404240,-121.2799642,39.88905255,2775564,NA
518GZC002,-121.29967,39.88745,180201210605,11404240,-121.2799642,39.88905255,2775564,NA
518GZC003,-121.3027778,39.88472222,180201210605,11404240,-121.2799642,39.88905255,2775564,NA
518GZC004,-121.30401,39.88039,180201210605,11404240,-121.2799642,39.88905255,2775564,NA
518LST002,-121.14611,39.57417,180201230602,11396000,-121.141625,39.5735007,8037505,NA
518LST003,-121.14944,39.57389,180201230602,11396000,-121.141625,39.5735007,8037529,NA
518LST004,-121.15306,39.57306,180201230602,11396000,-121.141625,39.5735007,8037529,NA
518LST005,-121.15919,39.5728,180201230602,11396000,-121.141625,39.5735007,8037529,NA
519CE0243,-121.415,38.51472,180201630402,11336580,-121.4527317,38.49851847,15036577,Stressed
519CE0339,-121.45705,38.49136,180201630402,11336580,-121.4527317,38.49851847,15040355,Stressed
519CE0627,-121.38918,38.51751,180201630402,11336580,-121.4527317,38.49851847,15036527,Stressed
519CE0691,-121.28879,38.7365,180201110105,11447293,-121.301895,38.73323514,15024799,Stressed
519DRCAWA,-121.3918,38.73481,180201110105,11447293,-121.301895,38.73323514,15022317,NA
519MRCSPK,-121.41405,38.51525,180201630402,11336580,-121.4527317,38.49851847,15036577,NA
524CLCR2x,-122.55064,40.58609,180201540106,11372000,-122.5241795,40.51320587,2782321,NA
526PS1532,-121.90069,40.87166,180200031102,11364250,-121.9205517,40.87404505,7952070,NA
531Site14,-121.09694,38.48611,180400130605,11335000,-121.0452212,38.50018619,3951199,NA
532FRS030,-120.2498,38.4158,180400120301,11316800,-120.4468676,38.40324566,17058162,NA
532TGR002,-120.45674,38.47303,180400120404,11316600,-120.49020230000001,38.4465771,17055766,NA
532TGR003,-120.45994,38.46885,180400120404,11316600,-120.49020230000001,38.4465771,17055926,NA
532TGR004,-120.46449,38.46477,180400120404,11316600,-120.49020230000001,38.4465771,17055926,NA
532TGR005,-120.46835,38.46172,180400120404,11316600,-120.49020230000001,38.4465771,17055926,NA
534PS0114,-120.0616,38.3883,180400100302,11293580,-119.9957403,38.41019006,342591,NA
536CHR002,-119.91395,37.96822,180400090405,11277300,-119.9174029,37.96769944,17081431,NA
536CHR003,-119.91843,37.96524,180400090405,11277300,-119.9174029,37.96769944,17081431,NA
536CHR004,-119.91979,37.96022,180400090405,11277300,-119.9174029,37.96769944,17081431,NA
536CHR005,-119.92208,37.95382,180400090405,11277300,-119.9174029,37.96769944,17081431,NA
536CRC283,-119.9536,37.8949,180400090405,11277300,-119.9174029,37.96769944,17082139,NA
540MNCLTE,-118.98866,37.3678,180400060102,11231500,-118.992063,37.361331,17118289,NA
540SJR002,-118.96378,37.27897,180400060206,11230070,-118.9573386,37.291331,948040331,NA
540SJR003,-118.96191,37.28237,180400060206,11230070,-118.9573386,37.291331,17119107,NA
540SJR005,-118.95653,37.29298,180400060206,11230070,-118.9573386,37.291331,17119107,NA
544PS0725,-121.69868,37.94875,180400030702,11337600,-121.687453,37.9627006,1896910,NA
553KRMFHC,-118.69985,36.61139,180300070401,11206820,-118.7016667,36.61166667,14917763,NA
601PS0065,-119.20378,37.94514,180901010401,10287655,-119.2732103,37.9643687,20287578,Intermediate
628MRW138,-117.37374,34.28471,180902080201,10260550,-117.3719912,34.28500486,22658543,NA
630SED043,-119.29521,38.28045,160503010107,10292000,-119.29988,38.28269628,8915871,NA
635PSCATR,-120.12178,39.3702,160501020205,10340500,-120.131587,39.37324026,8933736,NA
719WWRAEF,-116.82028,34.06322,181002010301,10255890,-116.808361,34.0628333,22590047,NA
801LYC062,-117.45844,34.21257,180702030305,11060900,-117.4494936,34.20278567,22554826,NA
801M12611,-117.86822,33.80456,180702031002,11075610,-117.7975559,33.8558489,22560942,NA
801M12625,-117.93471,33.69499,180702031003,11078000,-117.9083906,33.75112815,22563212,NA
801M15366,-117.26687,34.1728,180702030505,11058000,-117.2266667,34.1547222,22555342,NA
801M15377,-117.46218,34.21799,180702030305,11060900,-117.4494936,34.20278567,24843850,NA
801M15414,-117.18547,34.18646,180702030504,11055700,-117.1892063,34.14417698,22555238,NA
801M15424,-117.59958,33.99181,180702030705,11073495,-117.5994966,33.9827912,22563070,NA
801MIC034,-116.92669,34.08909,180702030501,11052790,-116.9402778,34.0911111,22558944,NA
801PCW048,-117.78945,33.71756,180702040101,11048520,-117.7894444,33.7161111,20355330,NA
801RB8179,-117.46747,33.76965,180702030602,11071900,-117.4458333,33.75027778,22561196,NA
801RB8229,-117.50814,33.83284,180702030604,11071760,-117.4958056,33.75444444,22563172,NA
801RB8356,-117.58815,33.9313,180702030804,11066460,-117.4483806,33.96862566,22563072,NA
801RB8395,-117.60105,33.96861,180702030705,11073495,-117.5994966,33.9827912,22563070,NA
801RB8494,-117.47379,33.96292,180702030804,11066460,-117.4483806,33.96862566,22560480,NA
801RB8501,-116.94243,34.09189,180702030501,11052790,-116.9402778,34.0911111,22559708,NA
801RB8511,-117.65601,33.73535,180702030901,11075800,-117.635605,33.70890848,22563222,NA
801RB8533,-117.04279,34.08739,180702030507,11049500,-117.0964244,34.11362248,948070530,NA
801RB8559,-117.21351,34.03535,180702030403,11057500,-117.2675419,34.0614024,22557960,NA
801RB8566,-117.59857,33.99869,180702030705,11073495,-117.5994966,33.9827912,22563070,NA
801RB8594,-117.5538,33.94612,180702030804,11066460,-117.4483806,33.96862566,22563072,NA
801RB8613,-117.12769,33.98491,180702030403,11057500,-117.2675419,34.0614024,22560388,NA
801S03533,-117.19139,34.02314,180702030403,11057500,-117.2675419,34.0614024,22557960,NA
801S04078,-117.72327,33.99762,180702030702,11073300,-117.7306118,34.01862319,22560356,NA
801S05127,-117.00968,34.18282,180702030103,11049250,-117.0155556,34.16138889,22555116,NA
801S05383,-117.01547,34.16563,180702030103,11049250,-117.0155556,34.16138889,22555476,NA
801S06231,-117.43019,34.23298,180702030303,11063500,-117.4639388,34.2663946,24843834,NA
801S06679,-117.46938,34.26188,180702030303,11063500,-117.4639388,34.2663946,22557744,NA
801S07485,-117.61405,33.94733,180702030705,11073495,-117.5994966,33.9827912,22563070,NA
801S08183,-117.30433,34.07334,180702030508,11059300,-117.3003208,34.0650131,22557922,NA
801S08727,-117.46178,34.2171,180702030305,11060900,-117.4494936,34.20278567,22554790,NA
801S19286,-117.78828,33.71866,180702040101,11048520,-117.7894444,33.7161111,20357190,NA
801SANT1x,-117.61456,33.70885,180702030901,11075800,-117.635605,33.70890848,22561360,NA
801SAR151,-117.39614,33.98873,180702030804,11066460,-117.4483806,33.96862566,948070241,NA
801STC532,-117.83864,33.77896,180702030902,11077500,-117.8845014,33.7702946,22563210,NA
801WCC446,-117.18567,34.18543,180702030504,11055700,-117.1892063,34.14417698,22555238,NA
801XXX112,-117.46974,34.26148,180702030303,11063500,-117.4639388,34.2663946,22557744,NA
801XXX118,-117.47566,34.27906,180702030303,11063500,-117.4639388,34.2663946,22557742,NA
845RB8633,-118.01959,33.87181,180701060603,11088500,-117.9264496,33.88779206,22524969,NA
901ATCAAS,-117.50159,33.68264,180703010103,11047300,-117.6658843,33.49835999,20350501,NA
901S06030,-117.64794,33.50267,180703010104,11046530,-117.6481058,33.5025264,20348919,NA
901SJMS1x,-117.52458,33.58122,180703010102,11046400,-117.541435,33.57363464,20348471,NA
902M18893,-117.17403,33.45304,180703020503,11044000,-117.1422536,33.4739175,22548371,NA
902M18901,-117.20413,33.49624,180703020501,11044350,-117.249202,33.42447348,22548197,NA
902S00565,-117.23903,33.41031,180703020503,11044000,-117.1422536,33.4739175,22548469,NA
902S01097,-117.25537,33.48724,180703020501,11044350,-117.249202,33.42447348,22549067,NA
906M21738,-117.18625,32.92288,180703040402,11023340,-117.1216999,32.9431013,20331268,NA
909M24925,-116.63814,32.83848,180703040803,11015000,-116.6230747,32.8347737,20334440,NA
SMC02947,-117.81143,33.69919,180702040103,11048553,-117.8275553,33.65724307,20355372,NA
SMC02996,-118.42296,34.22108,180701050208,11092450,-118.466749,34.16167247,22514962,NA
SMC05423,-119.30791,34.28649,180701010106,11118400,-119.310669,34.35833118,17586992,NA
SMC06653,-117.46267,33.96371,180702030804,11066460,-117.4483806,33.96862566,22563032,Stressed
SMC09564,-118.59397,34.4322,180701020403,11108000,-118.5867537,34.42610707,17574541,Stressed
SMC11430,-116.86004,32.84837,180703040703,11022200,-116.9003035,32.83616156,20332934,NA
SMC26288,-117.69453,33.77432,180702030902,11077500,-117.8845014,33.7702946,22561108,Intermediate
SMC40887,-117.46378,33.76317,180702030602,11071900,-117.4458333,33.75027778,22561196,NA
