"objectid","stationcode","sampleid","mmi_score","clinger_percenttaxa","clinger_percenttaxa_predicted","clinger_percenttaxa_score","coleoptera_percenttaxa","coleoptera_percenttaxa_predict","coleoptera_percenttaxa_score","taxonomic_richness","taxonomic_richness_predicted","taxonomic_richness_score","ept_percenttaxa","ept_percenttaxa_predicted","ept_percenttaxa_score","shredder_taxa","shredder_taxa_predicted","shredder_taxa_score","intolerant_percent","intolerant_percent_predicted","intolerant_percent_score","lastupdatedate","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
199,"520PS0007","520PS0007_07082008_BMI_RWB_MCM_1",0.72794369,0.61904762,0.61403594,0.72359555,0.10939911,0.11675399,0.56700661,25.1,35.9096,0.37950059,0.35688573,0.4726851,0.53100387,0,1.49053333,0.31547544,0.00391365,0.13658221,0.2263816,"","machine","SWAMP","2011-07-07 00:00:00","false","{26252433-7FFC-4D36-B0B7-CEAF4F695CB7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2086,"527PS1156","527PS1156_08212012_BMI_RWB_2",0.90589151,0.54980128,0.60413965,0.62776954,0.05651668,0.14167483,0.20722615,32.7,33.2079,0.65729634,0.64403464,0.5455446,0.93098684,4.65,4.0306,0.65087633,0.1465,0.21988674,0.33933342,"","machine","SWAMP","2014-08-09 00:00:00","false","{4DABF29A-55A1-4D73-9271-82526C37535F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,"304PS0146","304PS0146_06182012_BMI_RWB_1",0.5828432,0.33883053,0.47253906,0.49961928,0.08422831,0.10550862,0.50261216,21.9,36.18033333,0.28590875,0.38596462,0.48218608,0.5675471,2,4.23493333,0.19714353,0.03735567,0.21358699,0.14337987,"","machine","SWAMP","2014-08-09 00:00:00","false","{DCBA26F5-B9AB-40D7-85B4-4C8262D3CDD7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8655,"906LPLPC4","906LPLPC4_05242001_BMI_CSBP_Trans_1",0.69717523,0.35672619,0.31027624,0.79050137,0.0472409,0.1021599,0.34705902,15.65,26.5606,0.37677702,0.23311423,0.37843349,0.47590337,0,0.76846667,0.43025717,0,0.14308902,0.20652712,"","human","SMC","2018-09-05 00:00:00","true","{FF4ADB4B-3371-4979-9E41-5CBA6C98B21C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4723,"205STE030","205STE030_04082002_BMI_CSBP_Trans_1",0.22289024,0.23,0.48694925,0.30063603,0,0.10314698,0.1240416,7.75,36.81066667,0,0.13105159,0.42237455,0.20337943,0,3.2045,0.04301851,0,0.16289144,0.16879684,"","human","SMC","2018-09-05 00:00:00","false","{647C21A2-0159-4F0E-BCE4-DC9705287375}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3197,"106WE0768","106WE0768_07252001_BMI_TRC_1",0.89970098,0.6,0.59052923,0.73079515,0.10204082,0.12619065,0.48934279,49,38.5189,0.95362584,0.44897959,0.4870818,0.6760299,2,3.51523333,0.31154906,0.12851406,0.25990319,0.22881933,"","machine","SWAMP","2012-10-04 00:00:00","false","{E2AD3354-0D7C-4EE1-A8CD-3F932077083C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10382,"SGUT501","SGUT501_07052016_BMI_RWB_1",1.20514173,0.53909423,0.57922452,0.65070977,0.10650526,0.08377889,0.70610932,45.05,29.78146667,1,0.42754801,0.47524311,0.65812424,2,0.98013333,0.71453563,0.326,0.15151421,0.81161402,"2018-01-11 14:31:21","human","SMC","2018-09-05 00:00:00","false","{D7E41795-B360-45F2-9380-CF234FD92C92}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2253,"542DPCDPC","542DPCDPC_06182008_BMI_RWB_1",0.71707922,0.24935771,0.46930689,0.36037596,0.09654338,0.09753376,0.59643754,31.1,34.69173333,0.57413766,0.28790601,0.43873128,0.4656261,1.95,2.37876667,0.48425683,0.0193,0.15469272,0.22119117,"","machine","SWAMP","2011-07-07 00:00:00","false","{1DF2A000-F221-48DE-920C-3B4908AC91A8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2989,"905WE0679","905WE0679_05042017_BMI_RWB_1",1.24797399,0.51608333,0.36753321,0.95535129,0.16724138,0.16826183,0.59629845,29.6,22.11923333,0.87271882,0.46448276,0.476041,0.72557568,4,1.64143333,0.92733912,0.1843,0.10764901,0.6252058,"","machine","SWAMP","2017-08-10 00:00:00","false","{1E0992E9-475E-4C70-AC92-ADEFDF3040D2}",NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"909SSWR08","909SSWR08_11152005_BMI_CSBP_Comp_1",0.5969934,0.41,0.41252603,0.71142524,0,0.08495482,0.2081664,10.9,25.70456667,0.27177227,0.17363636,0.42882555,0.27082511,1,0.56824286,0.6210481,0,0.1642056,0.16629293,"","machine","SWAMP","2012-03-09 00:00:00","true","{CF00222D-1E03-4489-AF29-9DF8DD687988}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2076,"526WE0506","526WE0506_08292000_BMI_RWB_1",0.96166495,0.69565217,0.6795509,0.7415007,0.125,0.09427901,0.74307827,32,34.78173333,0.59598013,0.4375,0.49960518,0.63122703,1,1.61056667,0.45535739,0.10121457,0.11310484,0.45650491,"","machine","SWAMP","2012-10-04 00:00:00","false","{668DB763-1FA4-4684-B8CA-0517B10698DA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,"519PS0646","519PS0646_05272014_BMI_RWB_1",0.49017995,0.4575,0.46780639,0.69886314,0,0.0972119,0.15148679,14.55,34.41116667,0.13541594,0.31674638,0.42186662,0.55093704,0,2.68776667,0.12515988,0,0.15429096,0.18518364,"","machine","SWAMP","2016-08-04 00:00:00","false","{26999F93-3CD7-4C81-8296-AF445619DC32}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2566,"722PS0535","722PS0535_04162014_BMI_RWB_2",0.80367923,0.41810606,0.44571473,0.67092705,0.14659091,0.15225433,0.57482828,12.6,24.9034,0.33921876,0.3094697,0.34763014,0.6759212,0.9,0.71707619,0.58149286,0,0.15388638,0.18595452,"","machine","SWAMP","2016-06-02 00:00:00","false","{7029ADA4-884A-46EC-995D-B037A7004A6B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3078,"911COPPER","911COPPER_05022017_BMI_RWB_1",0.67450214,0.07338245,0.33444321,0.29399762,0.0488293,0.0887754,0.4162972,19.4,25.8266,0.49769261,0.23705158,0.36536534,0.50764507,1.8,1.9169,0.53383203,0.00393984,0.10210294,0.29212612,"","machine","SWAMP","2017-07-25 00:00:00","false","{D4CEB4CC-D3A7-4A88-BA5A-8CA2293E61C1}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10102,"801RB8512","801RB8512_07192011_BMI_RWB_2",0.8277223,0.55967033,0.51403888,0.78917983,0.07871941,0.08779572,0.55904632,20.85,23.57506667,0.5975082,0.3558454,0.50279138,0.47286702,1,1.21326667,0.51851331,0.0121,0.16815391,0.18182463,"2017-04-04 16:00:20.763","human","SMC","2018-09-05 00:00:00","true","{138B6823-E553-44DF-BAEA-FBBB9A5CA60E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1726,"517FCA139","517FCA139_06182014_BMI_RWB_1",0.90647123,0.45327142,0.5567266,0.54846603,0.12044294,0.09995412,0.69576236,37.75,41.6682,0.56533416,0.59198392,0.54538118,0.83413634,7.45,6.0688,0.77197418,0.09838542,0.39975361,0,"","machine","SWAMP","2016-08-04 00:00:00","false","{76A1A61D-E78D-43BF-957E-B027250AC24E}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1523,"505PS0174","505PS0174_09272011_BMI_RWB_1",1.0306785,0.57652916,0.60041675,0.67693508,0.08913608,0.10598845,0.52308799,44.9,41.5293,0.76188671,0.57375322,0.58978122,0.7172326,6.9,5.87626667,0.71515028,0.31829281,0.31291541,0.48940562,"","machine","SWAMP","2013-06-07 00:00:00","false","{38874AB2-4130-4453-9161-98683754B071}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2472,"634R10BMW","634R10BMW_09292011_BMI_RWB_1",0.96339322,0.4522995,0.50282111,0.63393204,0.09989346,0.08675439,0.66177539,24.5,26.14093333,0.62674295,0.46961105,0.54085433,0.61417026,3,3.06856667,0.54151523,0.48466,0.44641741,0.55202486,"","machine","SWAMP","2013-06-07 00:00:00","false","{B17B9CFC-E1C2-41E2-B1EF-C3C747E85BDE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
5114,"309DAV","309DAV_04261999_BMI_CSBP_Trans_1",0.57156073,0.25156566,0.5085708,0.30054579,0.11829212,0.06536178,0.84577951,14.3,32.46043333,0.18127793,0.24967262,0.45986989,0.354805,0,1.54726667,0.30645695,0.00130988,0.1662822,0.16483207,"","human","SMC","2018-09-05 00:00:00","false","{9AE111EE-0269-4FC1-A841-B5072861E2B7}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10084,"801RB8403","801RB8403_06152010_BMI_RWB_1",0.44966125,0,0.41431817,0.04654973,0,0.11776365,0.0564507,10.95,26.749,0.24495637,0.24656566,0.34897265,0.55600147,0.85,0.94776667,0.53687351,0,0.1184167,0.2535362,"2017-04-04 16:00:20.73","human","SMC","2018-09-05 00:00:00","true","{C186DC49-9967-444B-8A20-B560D4A1CCF1}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2836,"901SCCA74","901SCCA74_06082010_BMI_RWB_1",1.12305857,0.40367989,0.3591957,0.78732747,0.20404201,0.16061191,0.80184814,28.7,27.44003333,0.70496866,0.39032616,0.39979994,0.72946644,2.6,2.39393333,0.58517171,0.2453,0.16979983,0.6230131,"","machine","SWAMP","2012-03-08 00:00:00","true","{A20E5858-EB65-4F92-8266-2AE746A78AFB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10110,"801RB8567","801RB8567_06152010_BMI_RWB_MCM_1",0.48430527,0.14285714,0.40724059,0.28863285,0,0.11541319,0.0673198,9,24.32986667,0.25760702,0.22222222,0.39182749,0.4305722,1,1.2029,0.52016123,0,0.11470042,0.26061695,"2017-04-04 16:00:20.763","human","SMC","2018-09-05 00:00:00","true","{ACC78190-08A0-4D34-A2E3-DC8CEF9BF91A}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10272,"801XXX046","801XXX046_06052008_BMI_RWB_1",0.56200618,0.125,0.33528657,0.37597712,0,0.18262423,0,14,23.5352,0.41386607,0.14285714,0.2646581,0.51980157,0,0.8543,0.41661286,0,0.04604055,0.39143712,"2017-04-04 16:00:20.873","human","SMC","2018-09-05 00:00:00","true","{C8D096E5-9F45-48CC-84C2-BEFAA3E2ABEB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10170,"801RB8191","801RB8191_06022009_BMI_RWB_1",0.67062643,0.26954546,0.43378752,0.45032012,0.04679825,0.11847713,0.2695574,20.3,25.9224,0.51937868,0.24149123,0.38759672,0.47443582,0.85,0.74103333,0.56973642,0,0.1236536,0.24355813,"2017-04-04 16:00:20.683","human","SMC","2018-09-05 00:00:00","true","{FD6A9AD0-A88D-4B3F-94A8-82D5FADA4370}",NA,NA,NA,NA,NA,NA,NA,NA,NA
