list_id,comid,gage_id,ID,NHDV1_COMID,NHDV2_COMID,STATION_NAME,LATITUDE,LONGITUDE,FLOW_YRS_POST_1950,FLOW_YRS_PRE_1975,FINAL_REFERENCE,REF_BEGIN_YEAR,REF_END_YEAR,CEFF_type,geometry,date_begin,date_end,ward
10259100,22593529,10259100,T10259100,22593529,22593529,WHITEWATER R A RANCHO MIRAGE CA,33.749466,-116.4227903,25,0,N,NA,NA,ALT,"c(-116.4227903, 33.749466)",1989-03-30,2019-12-26,4
10259300,22593695,10259300,T10259300,22593695,22593695,WHITEWATER R A INDIO CA,33.7372434,-116.236118,48,8,NA,NA,NA,ALT,"c(-116.236118, 33.7372434)",1966-03-01,2019-12-26,10
10259540,22592737,10259540,T10259540,22592737,22592737,WHITEWATER R NR MECCA,33.52474915,-116.0775023,45,14,N,NA,NA,ALT,"c(-116.0775023, 33.52474915)",1960-10-01,2019-12-26,10
10260500,22660265,10260500,T10260500,22660265,22660265,DEEP C NR HESPERIA CA,34.3411142,-117.228376,64,24,N,NA,NA,ALT,"c(-117.228376, 34.3411142)",1904-10-01,2019-12-26,3
10260550,22658543,10260550,T10260550,22658543,22658543,WF MOJAVE R AB SILVERWOOD LAKE NR HESPERIA CA,34.28500486,-117.3719912,16,0,N,NA,NA,ALT,"c(-117.3719912, 34.28500486)",1995-10-01,2018-09-30,2
10260650,22660087,10260650,T10260650,22660087,22660087,HOUSTON C BL LK GREGORY A CRESTLINE CA,34.2483395,-117.2689321,14,0,N,NA,NA,ALT,"c(-117.2689321, 34.2483395)",1979-03-08,1993-09-29,3
10260700,22658611,10260700,T10260700,22658611,22658611,EF OF WF MOJAVE R AB SILVERWOOD LK NR HESPERIA CA,34.2702832,-117.292822,17,0,N,NA,NA,ALT,"c(-117.292822, 34.2702832)",1995-10-01,2018-09-30,3
10260820,22660067,10260820,T10260820,22660067,22660067,WF MOJAVE R BL SILVERWOOD LK CA,34.3041708,-117.3192118,20,0,N,NA,NA,ALT,"c(-117.3192118, 34.3041708)",1980-10-01,2018-09-30,3
10260950,22660257,10260950,T10260950,22660257,22660257,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,40,0,N,NA,NA,ALT,"c(-117.2578213, 34.33889196)",1974-10-01,2019-12-26,3
10261000,22658299,10261000,T10261000,22658299,22658299,WF MOJAVE R NR HESPERIA CA,34.3408364,-117.2408764,21,21,N,NA,NA,ALT,"c(-117.2408764, 34.3408364)",1930-01-01,1971-09-30,3
10261100,22660039,10261100,T10261100,22660039,22660039,MOJAVE R BL FORKS RES NR HESPERIA CA,34.34583624,-117.2380986,20,3,N,NA,NA,ALT,"c(-117.2380986, 34.34583624)",1971-10-01,1997-09-29,3
10261500,948090919,10261500,T10261500,22656151,948090919,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.57304916,-117.3206018,64,24,N,NA,NA,ALT,"c(-117.3206018, 34.57304916)",1899-03-01,2019-12-26,3
10262000,948090834,10262000,T10262000,22656121,948090834,MOJAVE R NR HODGE CA,34.83581727,-117.1917113,23,4,N,NA,NA,ALT,"c(-117.1917113, 34.83581727)",1930-10-01,1993-09-29,3
10262500,22656105,10262500,T10262500,22656105,22656105,MOJAVE R A BARSTOW CA,34.90692668,-117.022818,64,24,N,NA,NA,ALT,"c(-117.022818, 34.90692668)",1930-10-01,2019-12-26,3
10263000,948091323,10263000,T10263000,22653455,948091323,MOJAVE R A AFTON CA,35.03720565,-116.3841887,60,22,N,NA,NA,ALT,"c(-116.3841887, 35.03720565)",1929-10-01,2019-12-26,3
10265150,20273931,10265150,T10265150,20273931,20273931,HOT C A FLUME NR MAMMOTH LAKES CA,37.66882166,-118.8176312,31,0,N,NA,NA,ALT,"c(-118.8176312, 37.66882166)",1982-11-17,2019-12-26,4
10270800,20277159,10270800,T10270800,20277159,20277159,SF BISHOP C BL S LK NR BISHOP CA,37.17715504,-118.563165,29,0,N,NA,NA,ALT,"c(-118.563165, 37.17715504)",1985-10-01,2018-09-30,2
10270872,20277013,10270872,T10270872,20277013,20277013,MF BISHOP C BL LK SABRINA NR BISHOP CA,37.213822,-118.6103894,29,0,N,NA,NA,ALT,"c(-118.6103894, 37.213822)",1985-10-01,2018-09-30,2
10271210,20277761,10271210,T10271210,20277761,20277761,BISHOP C BL PP NO 6 NR BISHOP CA (ACTUAL) CA,37.34965199,-118.4623352,21,5,N,NA,NA,ALT,"c(-118.4623352, 37.34965199)",1969-10-01,1990-09-29,2
10276000,20277261,10276000,T10276000,20277261,20277261,BIG PINE C NR BIG PINE CA,37.14493125,-118.3153798,28,24,N,NA,NA,ALT,"c(-118.3153798, 37.14493125)",1920-10-01,1978-09-29,2
10277500,20265515,10277500,T10277500,20265515,20265515,OWENS R NR BIG PINE CA,37.0152113,-118.2245425,25,24,N,NA,NA,ALT,"c(-118.2245425, 37.0152113)",1912-01-01,1975-09-29,2
10285700,20266801,10285700,T10285700,20266801,20266801,OWENS R A KEELER BRIDGE NR LONE PINE CA,36.5793779,-118.0192532,19,14,N,NA,NA,ALT,"c(-118.0192532, 36.5793779)",1960-10-01,1979-12-31,2
10286000,20267693,10286000,T10286000,20267693,20267693,COTTONWOOD C NR OLANCHA CA,36.43882461,-118.0809189,28,24,N,NA,NA,ALT,"c(-118.0809189, 36.43882461)",1906-01-01,1978-09-29,2
10286001,20267693,10286001,T10286001,20267693,20267693,COTTONWOOD C NR OLANCHA CA.+ PH CA,36.4388246,-118.0809189,28,24,N,NA,NA,ALT,"c(-118.0809189, 36.4388246)",1906-01-01,1978-09-29,2
10287070,20286400,10287070,T10287070,20286400,20286400,MILL C BL LUNDY LK NR MONO LK(ACTUAL) CA,38.0327009,-119.215709,21,5,Y,1969,1981,ALT,"c(-119.215709, 38.0327009)",1969-10-01,1990-09-29,5
10287289,20287432,10287289,T10287289,20287432,20287432,RUSH C BL AGNEW LK NR JUNE LAKE CA,37.7590977,-119.130701,24,0,N,NA,NA,ALT,"c(-119.130701, 37.7590977)",1988-10-01,2018-09-30,5
10287290,20287432,10287290,T10287290,20287432,20287432,RUSH C BL AGNEW LK NR JUNE LAKE CA (ACTUAL) CA,37.75881993,-119.130701,21,5,N,NA,NA,ALT,"c(-119.130701, 37.75881993)",1969-10-01,1990-09-29,5
10287400,20287402,10287400,T10287400,20287402,20287402,RUSH C AB GRANT LK NR JUNE LK CA,37.80631867,-119.1090349,29,24,N,NA,NA,ALT,"c(-119.1090349, 37.80631867)",1936-10-01,1979-12-31,5
10287655,20287270,10287655,T10287655,20287270,20287270,LEE VINING C BL SADDLEBAG LK NR LEE VINING CA,37.9643687,-119.2732103,17,0,N,NA,NA,ALT,"c(-119.2732103, 37.9643687)",1997-10-01,2018-09-30,5
10287770,20287584,10287770,T10287770,20287584,20287584,LEE VINING C BL RHINEDOLLAR DAM NR LEE VINING CA,37.93603659,-119.2309854,26,0,N,NA,NA,ALT,"c(-119.2309854, 37.93603659)",1987-10-01,2018-09-30,5
10287900,20287304,10287900,T10287900,20287304,20287304,LEE VINING C NR LEE VINING CA,37.9293704,-119.1704278,29,24,N,NA,NA,ALT,"c(-119.1704278, 37.9293704)",1934-10-01,1979-12-31,5
10289000,8915923,10289000,T10289000,8915923,8915923,VIRGINIA CK NR BRIDGEPORT CA,38.19186474,-119.2101533,26,21,N,NA,NA,ALT,"c(-119.2101533, 38.19186474)",1953-10-01,2009-09-29,5
10289500,8915933,10289500,T10289500,8915933,8915933,GREEN CK NR BRIDGEPORT CA,38.17380969,-119.2337656,31,21,N,NA,NA,ALT,"c(-119.2337656, 38.17380969)",1953-10-01,2015-10-12,6
10290500,8915935,10290500,T10290500,8915935,8915935,"ROBINSON C AT TWIN LKS OUTLET NR BRIDGEPORT, CA",38.17214225,-119.3246032,41,21,N,NA,NA,ALT,"c(-119.3246032, 38.17214225)",1953-10-01,2015-10-13,5
10292000,8915871,10292000,T10292000,8915871,8915871,"SWAUGER CREEK NEAR BRIDGEPORT, CA",38.28269628,-119.29988,23,21,N,NA,NA,ALT,"c(-119.29988, 38.28269628)",1953-10-01,2006-09-29,5
10293000,8915857,10293000,T10293000,8915857,8915857,"E WALKER R NR BRIDGEPORT, CA",38.3276958,-119.2148759,64,24,N,NA,NA,ALT,"c(-119.2148759, 38.3276958)",1921-10-01,2019-12-26,5
10296000,10744424,10296000,T10296000,10744424,10744424,"W WALKER R BLW L WALKER R NR COLEVILLE, CA",38.3796366,-119.4501649,64,24,N,NA,NA,ALT,"c(-119.4501649, 38.3796366)",1938-04-01,2019-12-26,5
10296500,946050152,10296500,T10296500,10742734,946050152,"W WALKER R NR COLEVILLE, CA",38.51324495,-119.4498872,57,17,N,NA,NA,ALT,"c(-119.4498872, 38.51324495)",1902-10-01,2019-12-26,5
10304500,8924117,10304500,T10304500,8924117,8924117,"SILVER C BL PENN C NR MARKLEEVILLE, CA",38.59990726,-119.7760107,17,17,N,NA,NA,ALT,"c(-119.7760107, 38.59990726)",1946-10-01,1967-09-29,5
10308789,8922717,10308789,T10308789,8922717,8922717,LEVIATHAN C AB ASPEN C NR MARKLEEVILLE CA,38.7168505,-119.6601726,14,0,N,NA,NA,ALT,"c(-119.6601726, 38.7168505)",1998-10-24,2019-12-26,6
10308794,8922665,10308794,T10308794,8922665,8922665,BRYANT C BL MOUNTAINEER C NR MARKLEEVILLE CA,38.73657257,-119.6451719,14,0,N,NA,NA,ALT,"c(-119.6451719, 38.73657257)",1998-11-07,2019-12-26,6
10310000,8924041,10310000,T10310000,8924041,8924041,"WEST FORK CARSON RIVER AT WOODFORDS, CA",38.76962765,-119.833789,64,24,Y,1950,2014,ALT,"c(-119.833789, 38.76962765)",1900-10-01,2019-12-26,5
10336610,8944439,10336610,T10336610,8944439,8944439,UPPER TRUCKEE RIVER AT SOUTH LAKE TAHOE CALIF,38.9224078,-119.9915706,37,3,N,NA,NA,ALT,"c(-119.9915706, 38.9224078)",1971-10-01,2019-12-25,10
10336626,8943577,10336626,T10336626,8943577,8943577,TAYLOR C NR CAMP RICHARDSON CA,38.92157444,-120.0612952,24,6,N,NA,NA,ALT,"c(-120.0612952, 38.92157444)",1968-10-01,1992-12-14,5
10336775,8944479,10336775,T10336775,8944479,8944479,TROUT CK AT PIONEER TRAIL NR SOUTH LAKE TAHOE CA,38.90339444,-119.9688917,24,0,N,NA,NA,ALT,"c(-119.9688917, 38.90339444)",1990-06-01,2014-10-04,10
10336790,8945207,10336790,T10336790,8945207,8945207,TROUT C A SOUTH LAKE TAHOE CA,38.93213,-119.9787926,7,3,N,NA,NA,ALT,"c(-119.9787926, 38.93213)",1971-10-01,1992-09-30,10
10337500,8934074,10337500,T10337500,8934074,8934074,TRUCKEE R A TAHOE CITY CA,39.16629577,-120.1443586,64,24,N,NA,NA,ALT,"c(-120.1443586, 39.16629577)",1895-07-01,2019-12-26,1
10338000,8933958,10338000,T10338000,8933958,8933958,TRUCKEE R NR TRUCKEE CA,39.2962952,-120.2054752,37,11,N,NA,NA,ALT,"c(-120.2054752, 39.2962952)",1944-12-01,2019-12-26,1
10338500,8933876,10338500,T10338500,8933876,8933876,DONNER C A DONNER LK NR TRUCKEE CA,39.3235172,-120.2343654,60,20,N,NA,NA,ALT,"c(-120.2343654, 39.3235172)",1929-01-01,2019-12-26,1
10338700,8933890,10338700,T10338700,8933890,8933890,DONNER C AT HWY 89 NR TRUCKEE CA,39.32101739,-120.2079759,21,0,N,NA,NA,ALT,"c(-120.2079759, 39.32101739)",1993-03-24,2019-12-26,1
10340500,8933736,10340500,T10340500,8933736,8933736,PROSSER C BL PROSSER C DAM NR TRUCKEE CA,39.37324026,-120.131587,63,23,Y,1950,1963,ALT,"c(-120.131587, 39.37324026)",1942-10-01,2019-12-26,6
10342000,8930290,10342000,T10342000,8930290,8930290,LITTLE TRUCKEE R NR HOBART MILLS CA,39.50129393,-120.2774263,22,22,N,NA,NA,ALT,"c(-120.2774263, 39.50129393)",1947-01-01,1972-10-10,6
10343000,8933376,10343000,T10343000,8933376,8933376,INDEPENDENCE C NR TRUCKEE CA,39.4565717,-120.2871477,45,6,N,NA,NA,ALT,"c(-120.2871477, 39.4565717)",1909-10-21,2019-12-26,6
10344400,8933494,10344400,T10344400,8933494,8933494,LITTLE TRUCKEE R AB BOCA RES NR TRUCKEE CA,39.43574106,-120.084366,60,20,N,NA,NA,ALT,"c(-120.084366, 39.43574106)",1939-09-01,2019-12-26,5
10344500,8933684,10344500,T10344500,8933684,8933684,LITTLE TRUCKEE R BL BOCA DAM NR TRUCKEE CA,39.38685177,-120.0954757,63,24,N,NA,NA,ALT,"c(-120.0954757, 39.38685177)",1911-01-01,2019-12-26,5
10344505,8933706,10344505,T10344505,8933706,8933706,TRUCKEE R A BOCA BRIDGE NR TRUCKEE CA,39.38518517,-120.0876977,11,0,N,NA,NA,ALT,"c(-120.0876977, 39.38518517)",2002-08-28,2019-12-26,5
10346000,8933532,10346000,T10346000,8933532,8933532,TRUCKEE R A FARAD CA,39.42796385,-120.0340873,63,24,N,NA,NA,ALT,"c(-120.0340873, 39.42796385)",1909-01-01,2019-12-26,5
10354000,20298765,10354000,T10354000,20298765,20298765,LONG VALLEY C NR SCOTTS CA,39.85546105,-120.0677023,5,0,N,NA,NA,ALT,"c(-120.0677023, 39.85546105)",1917-03-10,1994-09-29,6
10356500,20296767,10356500,T10356500,20296767,20296767,SUSAN R A SUSANVILLE CA,40.41739494,-120.6718958,44,24,N,NA,NA,ALT,"c(-120.6718958, 40.41739494)",1900-06-01,1994-10-12,6
10358500,20296737,10358500,T10358500,20296737,20296737,WILLOW C NR SUSANVILLE CA,40.48906373,-120.5371707,44,24,N,NA,NA,ALT,"c(-120.5371707, 40.48906373)",1950-10-01,1994-10-12,6
11012500,20326431,11012500,T11012500,20326431,20326431,CAMPO C NR CAMPO CA,32.591172,-116.525572,64,24,N,NA,NA,ALT,"c(-116.525572, 32.591172)",1936-10-01,2019-12-26,4
11040000,20342485,11040000,T11040000,20342485,20342485,SAN LUIS REY R AT MONSERATE NARROWS CA,33.33725495,-117.1361431,36,24,N,NA,NA,ALT,"c(-117.1361431, 33.33725495)",1937-10-01,1986-09-29,7
11042631,22549093,11042631,T11042631,22549093,22549093,PECHANGA C NR TEMECULA CA,33.46416667,-117.1238889,26,0,N,NA,NA,ALT,"c(-117.1238889, 33.46416667)",1987-10-01,2019-12-26,4
11042900,948070502,11042900,T11042900,22547097,948070502,SANTA GERTRUDIS C NR TEMECULA CA,33.52447127,-117.1647544,26,0,N,NA,NA,ALT,"c(-117.1647544, 33.52447127)",1987-10-01,2019-12-26,10
11044250,22548475,11044250,T11044250,22548475,22548475,RAINBOW C NR FALLBROOK CA,33.40753006,-117.200867,24,0,N,NA,NA,ALT,"c(-117.200867, 33.40753006)",1989-11-01,2019-12-26,10
11044350,22548429,11044350,T11044350,22548429,22548429,SANDIA C NR FALLBROOK CA,33.42447348,-117.249202,25,0,N,NA,NA,ALT,"c(-117.249202, 33.42447348)",1989-10-01,2019-12-26,10
11047200,20348813,11047200,T11047200,20348813,20348813,OSO C A CROWN VALLEY PKWY NR MISSION VIEJO CA,33.55808028,-117.6767179,11,4,N,NA,NA,ALT,"c(-117.6767179, 33.55808028)",1969-12-01,1981-09-29,9
11056000,948070563,11056000,T11056000,24843732,948070563,SANTA ANA R NR SAN BERNARDINO CA,34.08195723,-117.2558749,7,7,N,NA,NA,ALT,"c(-117.2558749, 34.08195723)",1928-10-01,1961-12-31,3
11056200,22556176,11056200,T11056200,22556176,22556176,SANTA ANA R A WATERMAN AVE AT SAN BERNARDINO CA,34.07056863,-117.2789312,16,13,N,NA,NA,ALT,"c(-117.2789312, 34.07056863)",1954-10-01,1979-09-29,3
11060300,22557894,11060300,T11060300,22557894,22557894,LYTLE C (EAST CHANNEL) A SAN BERNARDINO CA,34.09723406,-117.3139326,7,7,N,NA,NA,ALT,"c(-117.3139326, 34.09723406)",1928-10-01,1957-09-29,3
11075740,22527369,11075740,T11075740,22527369,22527369,CARBON C NR YORBA LINDA CA,33.88945908,-117.8453358,11,11,N,NA,NA,ALT,"c(-117.8453358, 33.88945908)",1949-10-01,1961-09-29,10
11086000,22523061,11086000,T11086000,22523061,22523061,DALTON C NR GLENDORA CA,34.1583404,-117.8286711,12,12,N,NA,NA,ALT,"c(-117.8286711, 34.1583404)",1919-12-01,1962-09-29,2
11086400,22523137,11086400,T11086400,22523137,22523137,SAN DIMAS C NR SAN DIMAS CA,34.14528558,-117.7767249,6,6,N,NA,NA,ALT,"c(-117.7767249, 34.14528558)",1917-01-01,1956-09-29,2
11086990,22520999,11086990,T11086990,22520999,22520999,SAN JOSE C NR EL MONTE CA,34.0319553,-118.0120106,14,10,N,NA,NA,ALT,"c(-118.0120106, 34.0319553)",1964-10-01,1978-09-29,9
11090000,22525749,11090000,T11090000,22525749,22525749,FULLERTON C A FULLERTON CA,33.87279245,-117.9070042,13,13,N,NA,NA,ALT,"c(-117.9070042, 33.87279245)",1935-10-01,1964-05-31,9
11090500,22524985,11090500,T11090500,22524985,22524985,COYOTE C NR ARTESIA CA,33.83890426,-118.0603421,13,13,N,NA,NA,ALT,"c(-118.0603421, 33.83890426)",1930-02-01,1963-09-29,9
11090700,22525001,11090700,T11090700,22525001,22525001,COYOTE C A LOS ALAMITOS CA,33.81057157,-118.0753421,15,11,N,NA,NA,ALT,"c(-118.0753421, 33.81057157)",1963-10-01,1979-09-29,9
11101000,22514928,11101000,T11101000,22514928,22514928,EATON C NR PASADENA CA,34.1936162,-118.1045143,16,16,N,NA,NA,ALT,"c(-118.1045143, 34.1936162)",1918-02-01,1966-09-29,3
11106400,17564004,11106400,T11106400,17564004,17564004,CONEJO CREEK ABOVE HIGHWAY 101 CA,34.2366711,-118.9648221,11,2,N,NA,NA,ALT,"c(-118.9648221, 34.2366711)",1972-10-01,1983-09-29,10
11108080,17569729,11108080,T11108080,17569729,17569729,FISH C AB CASTAIC C NR CASTAIC CA,34.60248818,-118.6628665,7,0,N,NA,NA,ALT,"c(-118.6628665, 34.60248818)",1976-10-01,1993-09-29,2
11109375,17569367,11109375,T11109375,17569367,17569367,PIRU C BL BUCK C NR PYRAMID LK CA,34.66609632,-118.8242608,20,0,N,NA,NA,ALT,"c(-118.8242608, 34.66609632)",1976-10-01,2018-09-30,5
11113000,17574345,11113000,T11113000,17574345,17574345,SESPE C NR FILLMORE,34.4416618,-118.9273212,57,24,Y,1950,1980,ALT,"c(-118.9273212, 34.4416618)",1911-08-31,2019-12-26,10
11115500,17586470,11115500,T11115500,17586470,17586470,MATILIJA C A MATILIJA HOT SPRINGS,34.48276995,-119.3017809,38,24,Y,1950,1980,ALT,"c(-119.3017809, 34.48276995)",1927-10-01,1988-09-29,5
11120510,17595405,11120510,T11120510,17595405,17595405,SAN JOSE C A GOLETA CA,34.43027415,-119.822083,25,4,Y,1970,1980,ALT,"c(-119.822083, 34.43027415)",1970-10-01,2000-09-30,10
11120600,17593507,11120600,T11120600,17593507,17593507,JALAMA C NR LOMPOC CA,34.51387401,-120.4848861,17,9,N,NA,NA,ALT,"c(-120.4848861, 34.51387401)",1965-10-01,1982-09-29,4
11121000,17612503,11121000,T11121000,17612503,17612503,SANTA YNEZ R A JAMESON LK NR MONTECITO CA,34.4922149,-119.507902,14,0,N,NA,NA,ALT,"c(-119.507902, 34.4922149)",1988-10-01,2011-06-29,5
11130000,17608985,11130000,T11130000,17608985,17608985,ZACA C A BUELLTON CA,34.61387474,-120.1926505,13,13,N,NA,NA,ALT,"c(-120.1926505, 34.61387474)",1941-02-01,1963-09-29,7
11132500,17609017,11132500,T11132500,17609017,17609017,SALSIPUEDES C NR LOMPOC CA,34.5885957,-120.4084938,63,24,Y,1950,1987,ALT,"c(-120.4084938, 34.5885957)",1941-04-01,2019-12-26,7
11133500,948060325,11133500,T11133500,17608975,948060325,SANTA YNEZ R NR LOMPOC CA,34.64415012,-120.4309953,11,9,N,NA,NA,ALT,"c(-120.4309953, 34.64415012)",1906-11-01,1998-06-18,7
11134800,17607917,11134800,T11134800,17607917,17607917,MIGUELITO C A LOMPOC CA,34.6316501,-120.4648857,37,4,Y,1970,1980,ALT,"c(-120.4648857, 34.6316501)",1970-10-01,2009-09-29,10
11136000,17620130,11136000,T11136000,17620130,17620130,SAN ANTONIO C A HARRIS CA,34.76248138,-120.4246069,5,5,N,NA,NA,ALT,"c(-120.4246069, 34.76248138)",1941-02-01,1955-09-29,8
11137500,17632516,11137500,T11137500,17632516,17632516,ALAMO C NR SANTA MARIA CA,35.02219913,-120.3037684,12,12,N,NA,NA,ALT,"c(-120.3037684, 35.02219913)",1943-10-01,1962-09-29,6
11138000,17632504,11138000,T11138000,17632504,17632504,HUASNA R NR SANTA MARIA CA,35.02108805,-120.3226582,11,11,N,NA,NA,ALT,"c(-120.3226582, 35.02108805)",1929-10-01,1961-12-31,4
11142200,8191593,11142200,T11142200,8191593,8191593,SANTA ROSA C NR CAMBRIA CA,35.5763603,-120.9982426,15,15,N,NA,NA,ALT,"c(-120.9982426, 35.5763603)",1957-08-01,1972-09-29,4
11143300,17599225,11143300,T11143300,17599225,17599225,ARROYO DEL REY A DEL REY OAKS CA,36.59384897,-121.8377294,12,8,N,NA,NA,ALT,"c(-121.8377294, 36.59384897)",1966-10-01,1978-09-29,10
11150000,8212895,11150000,T11150000,8212895,8212895,SAN ANTONIO R A PLEYTO CA,35.86524529,-120.992688,15,15,N,NA,NA,ALT,"c(-120.992688, 35.86524529)",1929-10-01,1965-09-29,10
11156500,17665649,11156500,T11156500,17665649,17665649,SAN BENITO R NR WILLOW CREEK SCHOOL CA,36.60940609,-121.2029797,63,24,Y,1950,1961,ALT,"c(-121.2029797, 36.60940609)",1939-10-01,2019-12-26,5
11158900,17663279,11158900,T11158900,17663279,17663279,PESCADERO C NR CHITTENDEN CA,36.90773034,-121.5854987,11,4,N,NA,NA,ALT,"c(-121.5854987, 36.90773034)",1970-09-11,1981-09-29,6
11159150,17661713,11159150,T11159150,17661713,17661713,CORRALITOS C NR CORRALITOS CA,37.00550594,-121.8080085,15,15,N,NA,NA,ALT,"c(-121.8080085, 37.00550594)",1957-10-01,1972-10-11,4
11159800,17683342,11159800,T11159800,17683342,17683342,WB SOQUEL C NR SOQUEL CA,37.05133748,-121.9391252,14,14,N,NA,NA,ALT,"c(-121.9391252, 37.05133748)",1958-10-01,1972-10-06,10
11160000,17684378,11160000,T11160000,17684378,17684378,SOQUEL C A SOQUEL CA,36.9913389,-121.9557933,63,23,Y,1951,2014,ALT,"c(-121.9557933, 36.9913389)",1951-05-01,2019-12-26,10
11160060,17682316,11160060,T11160060,17682316,17682316,BEAR C A BOULDER C CA,37.12772447,-122.1169089,15,0,N,NA,NA,ALT,"c(-122.1169089, 37.12772447)",1977-10-01,1992-12-31,4
11161500,17684084,11161500,T11161500,17684084,17684084,BRANCIFORTE C A SANTA CRUZ CA,36.9860611,-122.0144069,16,16,N,NA,NA,ALT,"c(-122.0144069, 36.9860611)",1940-04-01,1968-09-29,10
11161800,17682482,11161800,T11161800,17682482,17682482,SAN VICENTE C NR DAVENPORT CA,37.05522644,-122.18219,16,5,N,NA,NA,ALT,"c(-122.18219, 37.05522644)",1969-10-01,1985-09-29,4
11161900,17682422,11161900,T11161900,17682422,17682422,SCOTT C AB LITTLE C NR DAVENPORT CA,37.06411519,-122.2294139,15,15,N,NA,NA,ALT,"c(-122.2294139, 37.06411519)",1958-10-01,1973-10-02,6
11162600,17687875,11162600,T11162600,17687875,17687875,PURISIMA C NR HALF MOON BAY CA,37.43494048,-122.3741392,11,11,N,NA,NA,ALT,"c(-122.3741392, 37.43494048)",1958-10-01,1969-10-03,1
11166900,17694463,11166900,T11166900,17694463,17694463,ALAMITOS C NR NEW ALMADEN CA,37.22244434,-121.8510641,14,14,N,NA,NA,ALT,"c(-121.8510641, 37.22244434)",1958-04-01,1972-09-29,3
11167000,17694425,11167000,T11167000,17694425,17694425,ALAMITOS C NR EDENVALE CA,37.23549956,-121.8699535,7,7,N,NA,NA,ALT,"c(-121.8699535, 37.23549956)",1930-04-01,1958-03-31,3
11167500,17694479,11167500,T11167500,17694479,17694479,GUADALUPE C A GUADALUPE CA,37.21716673,-121.9107886,9,9,N,NA,NA,ALT,"c(-121.9107886, 37.21716673)",1930-04-01,1959-09-29,3
11168000,17695715,11168000,T11168000,17695715,17695715,LOS GATOS C A LOS GATOS CA,37.21744453,-121.9874581,18,18,N,NA,NA,ALT,"c(-121.9874581, 37.21744453)",1930-04-01,1971-10-01,3
11180825,2803945,11180825,T11180825,2803945,2803945,SAN LORENZO C AB DON CASTRO RES NR CASTRO V CA,37.69520825,-122.044962,30,0,Y,1980,1998,ALT,"c(-122.044962, 37.69520825)",1980-10-01,2019-12-26,4
