"objectid","sampleid","stationcode","sampledate","samplemonth","sampleday","sampleyear","collectionmethodcode","fieldreplicate","databasecode","count","number_of_mmi_iterations","number_of_oe_iterations","pcnt_ambiguous_individuals","pcnt_ambiguous_taxa","e","mean_o","oovere","oovere_percentile","mmi","mmi_percentile","csci","csci_percentile","scoredate","scorenotes","cleaned","rand","processed_by","record_origin","origin_lastupdatedate","record_publish","globalid","created_user","created_date","last_edited_user","last_edited_date","login_email","login_agency","login_owner","login_year","login_project"
8857,"206SPA140_05032001_BMI_CSBP_Trans_1","206SPA140","2001-05-03 00:00:00",5,3,2001,"BMI_CSBP_Trans",1,"SWAMP",905,20,20,6.52654867,3.22580645,13.95391112,12.3,0.88147329,0.27,0.58313175,0.01,0.73230252,0.05,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{250A076C-F9B0-4264-82B3-CBF547E40078}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2862,"902S02357_05252010_BMI_RWB_1","902S02357","2010-05-25 00:00:00",5,25,2010,"BMI_RWB",1,"",594,20,20,0,0,7.64181247,7.3,0.95527076,0.41,0.71240822,0.05,0.83383949,0.15,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","true","{9F6E8078-7733-4C4A-AAF6-DA66267063B1}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1631,"513PS0008_08072008_BMI_RWB_1","513PS0008","2008-08-07 00:00:00",8,7,2008,"BMI_RWB",1,"",587,20,20,1.02214651,5.71428571,7.67534446,6,0.78172387,0.13,0.88697601,0.26,0.83434994,0.15,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","false","{59DE70C7-1463-4186-9C4A-12ABE1ED01F9}",NA,NA,NA,NA,NA,NA,NA,NA,NA
432,"106FC1313_07232014_BMI_RWB_1","106FC1313","2014-07-23 00:00:00",7,23,2014,"BMI_RWB",1,"",544,20,20,11.46616541,15.58441558,13.32198934,14.8,1.11094519,0.72,1.02099357,0.55,1.06596938,0.66,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2016-08-04 00:00:00","false","{C6A0C977-32B6-443B-9E8F-9EA0D28F8B37}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2822,"901S02702_06022010_BMI_RWB_1","901S02702","2010-06-02 00:00:00",6,2,2010,"BMI_RWB",1,"",210,1,1,2.38095238,3.57142857,7.61832549,4,0.52504976,0.01,0.39247306,0,0.45876141,0,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","true","{C40781F4-AA6F-4CAA-8FC6-81ED12963D6B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
642,"113GAR015_09092013_BMI_RWB_1","113GAR015","2013-09-09 00:00:00",9,9,2013,"BMI_RWB",1,"",554,20,20,3.24909747,8.95522388,13.51619289,8.55,0.63257458,0.03,0.55407223,0.01,0.5933234,0.01,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2017-06-08 00:00:00","false","{3DBAD7B6-3C58-44D1-A8E5-4B4B123F01CB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3314,"206CE0495_06152004_BMI_TRC_1","206CE0495","2004-06-15 00:00:00",6,15,2004,"BMI_TRC",1,"",494,1,20,0.41152263,2.27272727,13.98245295,13.75,0.98337538,0.47,0.66288941,0.03,0.82313239,0.13,"2018-09-03 07:50:41","Distinct set to NA","Yes",2,"machine","SWAMP","2013-12-04 00:00:00","false","{5F82D96F-3E13-41F3-ABD7-F450429C6D43}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4058,"309DAV_06092006_BMI_RWB_1","309DAV","2006-06-09 00:00:00",6,9,2006,"BMI_RWB",1,"SWAMP",6,1,1,66.66666667,50,10.31485017,1,0.0969476,0,0.20370019,0,0.1503239,0,"2016-08-08 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{CADA87BA-40E3-42CE-A1C0-FC03656878F0}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"525WE0862_08232001_BMI_RWB_1","525WE0862","2001-08-23 00:00:00",8,23,2001,"BMI_RWB",1,"",489,1,20,2.04498978,2.85714286,17.50588804,21.5,1.2281582,0.88,1.00045734,0.5,1.11430777,0.76,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2012-10-04 00:00:00","false","{1B6A1912-33EC-441D-BAAD-EE0FF763102B}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8723,"207SUI050_04192001_BMI_CSBP_Trans_1","207SUI050","2001-04-19 00:00:00",4,19,2001,"BMI_CSBP_Trans",1,"SWAMP",864,20,20,3.7037037,13.79310345,8.89987097,6.7,0.7528199,0.1,0.77149033,0.1,0.76215511,0.07,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{5DCC27C7-5487-4221-882E-11EA4AFC1C92}",NA,NA,NA,NA,NA,NA,NA,NA,NA
585,"111WE0814_06192001_BMI_RWB_1","111WE0814","2001-06-19 00:00:00",6,19,2001,"BMI_RWB",1,"",506,20,20,1.58102767,4.54545455,15.26680079,11.3,0.74016817,0.09,0.68473923,0.04,0.7124537,0.04,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2012-10-04 00:00:00","false","{F49204DF-30B2-47C3-B0D7-947725441266}",NA,NA,NA,NA,NA,NA,NA,NA,NA
691,"113GAR118_07262010_BMI_RWB_1","113GAR118","2010-07-26 00:00:00",7,26,2010,"BMI_RWB",1,"",608,20,20,9.375,10.95890411,15.21247834,16.45,1.08134912,0.67,0.9772739,0.45,1.02931151,0.57,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2012-07-12 00:00:00","false","{D411219D-8529-4186-80CB-3124D1B15AFD}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3147,"911TTJR01_05052008_BMI_RWB_1","911TTJR01","2008-05-05 00:00:00",5,5,2008,"BMI_RWB",1,"",592,20,20,1.52027027,18.51851852,7.00556209,5,0.7137186,0.07,0.55122054,0.01,0.63246957,0.01,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","true","{97DFE05E-5CA7-4335-B8CB-ABC3F5D95F72}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,"519ALCAFB_10252004_BMI_RWB_1","519ALCAFB","2004-10-25 00:00:00",10,25,2004,"BMI_RWB",1,"",492,1,20,0,0,10.21672318,8.65,0.84665111,0.21,0.45814465,0,0.65239788,0.02,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2016-02-05 00:00:00","false","{DED702DE-89DF-4C5A-8E2E-A1E754D4D143}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4948,"405PS0030_07082015_BMI_RWB_1","405PS0030","2015-07-08 00:00:00",7,8,2015,"BMI_RWB",1,"SMC",578,20,20,0.34602076,2.63157895,7.7481616,8.3,1.07122185,0.65,0.70693996,0.05,0.8890809,0.24,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{6A90190A-C4E1-464D-947D-ECF89DA2AF8F}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2183,"536SED108_09212011_BMI_RWB_2","536SED108","2011-09-21 00:00:00",9,21,2011,"BMI_RWB",2,"",595,20,20,3.86554622,6.84931507,18.84688857,21.8,1.1566896,0.79,1.02232848,0.55,1.08950904,0.71,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2013-06-07 00:00:00","false","{D74684F4-1695-4CE4-A98B-A8F1A96C80AF}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4956,"412CE0732_09022015_BMI_RWB_MCM_1","412CE0732","2015-09-02 00:00:00",9,2,2015,"BMI_RWB_MCM",1,"SMC",631,20,20,0.15847861,3.44827586,7.67714885,5.65,0.7359503,0.08,0.41411375,0,0.57503203,0,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{AC5EB097-F097-4238-8691-7BE19DF3DFF2}",NA,NA,NA,NA,NA,NA,NA,NA,NA
909,"205PS0202_05222013_BMI_RWB_1","205PS0202","2013-05-22 00:00:00",5,22,2013,"BMI_RWB",1,"",583,20,20,1.37221269,8.06451613,11.00942364,10.6,0.96281153,0.42,0.58255493,0.01,0.77268323,0.08,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2015-02-04 00:00:00","false","{CEDD0661-AF35-4475-96B7-8C08A65F8701}",NA,NA,NA,NA,NA,NA,NA,NA,NA
583,"111WE0813_05072004_BMI_RWB_1","111WE0813","2004-05-07 00:00:00",5,7,2004,"BMI_RWB",1,"",478,1,20,4.60251046,4.08163265,14.90508922,13.6,0.91244003,0.32,0.96129637,0.41,0.9368682,0.35,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2012-10-04 00:00:00","false","{9380B01D-DB55-48D6-9AC0-BE40799FCAC8}",NA,NA,NA,NA,NA,NA,NA,NA,NA
8618,"304SOQ_05052001_BMI_CSBP_Trans_1","304SOQ","2001-05-05 00:00:00",5,5,2001,"BMI_CSBP_Trans",1,"SWAMP",916,20,20,0.31595577,13.33333333,9.76730557,4.05,0.41464864,0,0.10587917,0,0.26026391,0,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{F2281088-F459-485F-9FBA-5A83BFEE3BCC}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2094,"531LGCCSR_04202005_BMI_RWB_1","531LGCCSR","2005-04-20 00:00:00",4,20,2005,"BMI_RWB",1,"",467,1,20,0,0,9.06804174,6,0.66166436,0.04,0.49130598,0,0.57648517,0,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2016-03-03 00:00:00","false","{E2623EEC-EB67-4D70-A3AE-0D9CAD9C19AA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2980,"905SDBDN9_05042017_BMI_RWB_1","905SDBDN9","2017-05-04 00:00:00",5,4,2017,"BMI_RWB",1,"",565,20,20,0.70921986,7.14285714,6.78222186,8.4,1.23853218,0.9,0.71490886,0.06,0.97672052,0.44,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2017-07-28 00:00:00","false","{0F51CEA8-EB83-4A57-A33E-FAE764EECAAE}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2082,"527CE0093_07282015_BMI_RWB_1","527CE0093","2015-07-28 00:00:00",7,28,2015,"BMI_RWB",1,"",605,20,20,5.78512397,11.66666667,14.6434097,14.2,0.9697195,0.44,0.88036818,0.25,0.92504384,0.32,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2017-08-03 00:00:00","false","{29D634D4-0A7D-4597-82DE-33EADA96E321}",NA,NA,NA,NA,NA,NA,NA,NA,NA
3206,"106WER011_09252003_BMI_TRC_1","106WER011","2003-09-25 00:00:00",9,25,2003,"BMI_TRC",1,"",521,20,20,0.19193858,1.49253731,18.67875014,23.25,1.24472996,0.9,1.16326339,0.82,1.20399668,0.9,"2018-09-03 07:50:41","Distinct set to NA","Yes",2,"machine","SWAMP","2012-10-04 00:00:00","false","{8E60B78B-64D2-4054-B740-9AAA13C9AEBC}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1787,"518FRE277_08182014_BMI_RWB_1","518FRE277","2014-08-18 00:00:00",8,18,2014,"BMI_RWB",1,"",586,20,20,2.55972696,7.84313725,15.05650901,10.75,0.71397692,0.07,0.55358997,0.01,0.63378345,0.01,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2016-08-04 00:00:00","false","{CA57BDB1-5BBC-43D9-B544-FFDC448B9D40}",NA,NA,NA,NA,NA,NA,NA,NA,NA
6429,"603RCS1xx_09192001_BMI_CSBP_Trans_1","603RCS1xx","2001-09-19 00:00:00",9,19,2001,"BMI_CSBP_Trans",1,"SWAMP",285,1,1,1.40350877,3.33333333,12.3346374,10,0.81072509,0.16,1.20583209,0.87,1.00827859,0.52,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{E1D4B26A-0314-4F85-94FD-573603321341}",NA,NA,NA,NA,NA,NA,NA,NA,NA
1457,"405WER318_07072009_BMI_RWB_1","405WER318","2009-07-07 00:00:00",7,7,2009,"BMI_RWB",1,"",582,20,20,1.7211704,8.16326531,11.36338849,12.85,1.13082467,0.75,1.11094073,0.73,1.1208827,0.77,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2011-07-07 00:00:00","true","{89C490AE-CFE8-4C93-83EE-06D283ED995C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
2715,"801STW085_06042006_BMI_RWB_1","801STW085","2006-06-04 00:00:00",6,4,2006,"BMI_RWB",1,"",524,20,20,4.38931298,18.75,7.75367801,5.9,0.7609292,0.1,0.51867641,0,0.63980281,0.01,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2016-10-06 00:00:00","true","{76BEFF35-E9D6-4B76-869D-99ED0313658C}",NA,NA,NA,NA,NA,NA,NA,NA,NA
665,"113GAR087_08062013_BMI_RWB_1","113GAR087","2013-08-06 00:00:00",8,6,2013,"BMI_RWB",1,"",554,20,20,4.51263538,6.4516129,13.31587911,12.1,0.90868954,0.32,0.72559232,0.06,0.81714093,0.13,"2018-09-02 09:34:00","Distinct set to NA","Yes",2,"machine","SWAMP","2017-06-08 00:00:00","false","{61AF3CD2-240A-4734-8217-B848493EE6EA}",NA,NA,NA,NA,NA,NA,NA,NA,NA
4936,"403M01505_06292015_BMI_RWB_MCM_1","403M01505","2015-06-29 00:00:00",6,29,2015,"BMI_RWB_MCM",1,"SMC",597,20,20,0,0,8.41594794,5.95,0.70699107,0.06,0.62082166,0.02,0.66390636,0.02,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{41E2487E-16BA-46D9-80D1-54BA73CABDFB}",NA,NA,NA,NA,NA,NA,NA,NA,NA
9115,"201LAG240_04182001_BMI_CSBP_Trans_1","201LAG240","2001-04-18 00:00:00",4,18,2001,"BMI_CSBP_Trans",1,"SWAMP",850,20,20,6.23529412,9.09090909,13.52657051,14.05,1.03869639,0.58,1.14051496,0.78,1.08960568,0.71,"2016-08-05 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","false","{6A94B79F-0096-44A0-BCF5-8D839E7A0859}",NA,NA,NA,NA,NA,NA,NA,NA,NA
10060,"801RB8312_06142009_BMI_RWB_1","801RB8312","2009-06-14 00:00:00",6,14,2009,"BMI_RWB",1,"SWAMP",655,20,20,0.91603053,10.71428571,8.91906778,6.75,0.75680555,0.1,0.53509844,0,0.64595199,0.01,"2017-04-04 00:00:00","Distinct set to NA","Yes",2,"human","SMC","2018-09-12 00:00:00","true","{21041A1E-83E0-43C0-8C46-55F9AA6420B5}",NA,NA,NA,NA,NA,NA,NA,NA,NA
